month,ticker,name,lstg_st_cnt,mkt_cap
2021-04,308170,센트랄모텍,8610000,248398500000
2021-05,308170,센트랄모텍,8610000,230748000000
2021-06,308170,센트랄모텍,8610000,229026000000
2021-07,308170,센트랄모텍,8610000,230748000000
2021-08,308170,센트랄모텍,8610000,204487500000
2021-09,308170,센트랄모텍,8610000,217402500000
2021-10,308170,센트랄모텍,8610000,247537500000
2021-11,308170,센트랄모텍,8610000,179088000000
2021-12,308170,센트랄모텍,8610000,193725000000
2022-01,308170,센트랄모텍,8610000,167034000000
2022-02,308170,센트랄모텍,8610000,155841000000
2022-03,308170,센트랄모텍,8610000,162729000000
2022-04,308170,센트랄모텍,8610000,153688500000
2022-05,308170,센트랄모텍,8610000,142926000000
2022-06,308170,센트랄모텍,8610000,105042000000
2022-07,308170,센트랄모텍,8610000,174783000000
2022-08,308170,센트랄모텍,8610000,150675000000
2022-09,308170,센트랄모텍,8610000,113221500000
2022-10,308170,센트랄모텍,8610000,111930000000
2022-11,308170,센트랄모텍,8610000,151105500000
2022-12,308170,센트랄모텍,8610000,111930000000
2023-01,308170,센트랄모텍,8610000,131991300000
2023-02,308170,센트랄모텍,8610000,150158400000
2023-03,308170,센트랄모텍,8610000,142926000000
2023-04,308170,씨티알모빌리티,8610000,142495500000
2023-05,308170,씨티알모빌리티,8610000,137673900000
2023-06,308170,씨티알모빌리티,8610000,134143800000
2023-07,308170,씨티알모빌리티,8610000,121487100000
2023-08,308170,씨티알모빌리티,8610000,121228800000
2023-09,308170,씨티알모빌리티,8610000,107797200000
2023-10,308170,씨티알모빌리티,8610000,105042000000
2023-11,308170,씨티알모빌리티,8610000,110810700000
2023-12,308170,씨티알모빌리티,8610000,105903000000
2024-01,308170,씨티알모빌리티,8610000,96259800000
2024-02,308170,씨티알모빌리티,8610000,92729700000
2024-03,308170,씨티알모빌리티,8610000,87822000000
2024-04,308170,씨티알모빌리티,8610000,81622800000
2024-05,308170,씨티알모빌리티,8610000,79212000000
2024-06,308170,씨티알모빌리티,8610000,72926700000
2024-07,308170,씨티알모빌리티,8610000,57945300000
2024-08,308170,씨티알모빌리티,8610000,52090500000
2024-09,308170,씨티알모빌리티,8610000,51832200000
2024-10,308170,씨티알모빌리티,8610000,45460800000
2024-11,308170,씨티알모빌리티,8610000,43911000000
2024-12,308170,씨티알모빌리티,8610000,51057300000
2025-01,308170,씨티알모빌리티,8610000,48560400000
2025-02,308170,씨티알모빌리티,8610000,49593600000
2025-03,308170,씨티알모빌리티,8610000,44341500000
2025-04,308170,씨티알모빌리티,8610000,51660000000
2025-05,308170,씨티알모빌리티,8610000,49851900000
2025-06,308170,씨티알모빌리티,8610000,51660000000
2025-07,308170,씨티알모빌리티,8610000,45288600000
2025-08,308170,씨티알모빌리티,8610000,44169300000
2025-09,308170,씨티알모빌리티,8610000,42662550000
2025-10,308170,씨티알모빌리티,8610000,42102900000
2025-11,308170,씨티알모빌리티,8610000,42791700000
2025-12,308170,씨티알모빌리티,8610000,58720200000
2020-01,317400,자이에스앤디,26782520,152124713600
2020-02,317400,자이에스앤디,26782520,145964734000
2020-03,317400,자이에스앤디,26782520,99764887000
2020-04,317400,자이에스앤디,26782520,125877844000
2020-05,317400,자이에스앤디,26782520,156409916800
2020-06,317400,자이에스앤디,26782520,162302071200
2020-07,317400,자이에스앤디,26782520,182924611600
2020-08,317400,자이에스앤디,26782520,208903656000
2020-09,317400,자이에스앤디,26782520,216938412000
2020-10,317400,자이에스앤디,26782520,214260160000
2020-11,317400,자이에스앤디,26782520,251220037600
2020-12,317400,자이에스앤디,26782520,336120626000
2021-01,317400,자이에스앤디,26782520,321390240000
2021-02,317400,자이에스앤디,26782520,283894712000
2021-03,317400,자이에스앤디,26782520,293268594000
2021-04,317400,자이에스앤디,26782520,307998980000
2021-05,317400,자이에스앤디,38782520,405277334000
2021-06,317400,자이에스앤디,38782520,416912090000
2021-07,317400,자이에스앤디,38782520,414972964000
2021-08,317400,자이에스앤디,38782520,384722598400
2021-09,317400,자이에스앤디,38782520,365331338400
2021-10,317400,자이에스앤디,38782520,369985240800
2021-11,317400,자이에스앤디,38782520,333529672000
2021-12,317400,자이에스앤디,38782520,358738310000
2022-01,317400,자이에스앤디,38782520,363780037600
2022-02,317400,자이에스앤디,38782520,353696582400
2022-03,317400,자이에스앤디,38782520,364555688000
2022-04,317400,자이에스앤디,38782520,362228736800
2022-05,317400,자이에스앤디,38782520,328100119200
2022-06,317400,자이에스앤디,38782520,233858595600
2022-07,317400,자이에스앤디,38782520,307157558400
2022-08,317400,자이에스앤디,38782520,309872334800
2022-09,317400,자이에스앤디,38782520,238124672800
2022-10,317400,자이에스앤디,38782520,236573372000
2022-11,317400,자이에스앤디,38782520,243942050800
2022-12,317400,자이에스앤디,38782520,233858595600
2023-01,317400,자이에스앤디,38782520,252862030400
2023-02,317400,자이에스앤디,38782520,257515932800
2023-03,317400,자이에스앤디,38782520,249371603600
2023-04,317400,자이에스앤디,38782520,261006359600
2023-05,317400,자이에스앤디,38782520,266823737600
2023-06,317400,자이에스앤디,38782520,246656827200
2023-07,317400,자이에스앤디,38782520,215242986000
2023-08,317400,자이에스앤디,38782520,199342152800
2023-09,317400,자이에스앤디,38782520,197790852000
2023-10,317400,자이에스앤디,38782520,182471756600
2023-11,317400,자이에스앤디,38782520,198954327600
2023-12,317400,자이에스앤디,38782520,196627376400
2024-01,317400,자이에스앤디,38782520,181114368400
2024-02,317400,자이에스앤디,38782520,178981329800
2024-03,317400,자이에스앤디,38782520,164631797400
2024-04,317400,자이에스앤디,38782520,161723108400
2024-05,317400,자이에스앤디,38782520,165601360400
2024-06,317400,자이에스앤디,38782520,181114368400
2024-07,317400,자이에스앤디,38782520,185380445600
2024-08,317400,자이에스앤디,38782520,165601360400
2024-09,317400,자이에스앤디,38782520,163662234400
2024-10,317400,자이에스앤디,38782520,152027478400
2024-11,317400,자이에스앤디,38782520,131084917600
2024-12,317400,자이에스앤디,38782520,124297976600
2025-01,317400,자이에스앤디,38782520,120613637200
2025-02,317400,자이에스앤디,38782520,126043190000
2025-03,317400,자이에스앤디,38782520,122940588400
2025-04,317400,자이에스앤디,38782520,134963169600
2025-05,317400,자이에스앤디,38782520,139810984600
2025-06,317400,자이에스앤디,38782520,137096208200
2025-07,317400,자이에스앤디,38782520,138647509000
2025-08,317400,자이에스앤디,38782520,132248393200
2025-09,317400,자이에스앤디,38782520,127594490800
2025-10,317400,자이에스앤디,38782520,119837986800
2025-11,317400,자이에스앤디,38782520,144464887000
2025-12,317400,자이에스앤디,38782520,170643088000
2025-10,317450,명인제약,14600000,1200120000000
2025-11,317450,명인제약,14600000,1100840000000
2025-12,317450,명인제약,14600000,1005940000000
2020-01,322000,현대에너지솔루션,11200000,207760000000
2020-02,322000,현대에너지솔루션,11200000,293440000000
2020-03,322000,현대에너지솔루션,11200000,215600000000
